"site_ID","cam","Taxon","Size_class","shapeT","scaleT","muY","sizeY","Lvalue","estPar","shape_se","mu_se","size_se","D","pred","se","lwr","upr","detects","AICc"
"hale_kaku",3,"Abudefduf abdominalis","10_20",7.98336103283115,1,8.00000346381994,2.97194654331599,27.7707958790801,3,0.832716059243622,9.84491651099548,10.0643707412661,0.492800277126345,0.371888497008513,2.26678291237523,0.0747841018486685,1.84933763712391,24,0.552030078840763
"hale_kaku",3,"Abudefduf sordidus","10_20",3.0706713240545,2.47508536237084,3.3333791212426,20,47.4933283052345,4,1.13657797962452,1.29633672735609,3911.8195650353,0.195480402408375,0.315965416435414,2.624472191747,0.047677917544705,2.09392837448481,10,8.27882151111256
"hale_kaku",3,"Abudefduf sordidus","20_30",7.01764146677941,1.35373162347189,2.66667011210207,20,21.5108923025872,4,15.6737554541235,1.00740999534828,12395.2738195232,0.195473568932813,0.44270314991642,2.32522817705696,0.0846915499451208,2.31411609626837,8,15.196214482192
"hale_kaku",3,"Abudefduf vaigiensis","10_20",21.3925433757354,0.353930208899444,7.00238574962973,20,41.8709843815904,4,42.8580571968523,9.45811535128476,1734.65190583789,0.409092091407933,0.368628834833653,2.1688192925625,0.0808335221364844,1.68107505746658,7,20.5308138196361
"hale_kaku",3,"Abudefduf vaigiensis","5_10",3.17566256943705,2.08975645347808,7.00021829148074,4.54126295865717,91.9935304658185,4,0.554113533903583,8.89586576588969,58.6023214172513,0.358456621149649,0.277859088221741,2.62794243786504,0.0418193755567265,1.84616991238165,14,3.40100793733907
"hale_kaku",3,"Acanthurus nigroris","5_10",10.3880615526855,1,3.00000422565016,20,49.5644466670386,3,0.824705533838187,1.15000337028394,2611.77562445676,0.240464726499772,0.502125167812487,2.23590091040775,0.103725368505852,2.43074271783854,9,2.99345244872321
"hale_kaku",3,"Acanthurus triostegus","10_20",3.52302602173328,1,24.4999685743749,0.831030166519358,30.2333742140414,3,0.338872436220702,373.396270296935,0.591432035359306,0.666003293357796,0.146744091955885,2.57867497932248,0.0229204572201569,0.939502572619705,49,-0.284559507917529
"hale_kaku",3,"Acanthurus xanthopterus","20_30",4.73287937605033,1,3.00000012306489,20,14.7104638937043,3,0.708714355802976,1.72499971898103,2231.42467497803,0.109557397458351,0.216740833772123,2.39153443425202,0.0392404996344649,1.19714553743795,6,12.6228818598842
"hale_kaku",3,"Caranx melampygus","30_40",2.47968552806205,1,6.50000070921627,1.10180674825326,9.62114161724802,3,0.673124846335281,22.423059798588,1.60702953061901,0.124366957492566,0.0997000033132637,2.77579373379031,0.0134789567043789,0.737452525345344,13,4.13874080892998
"hale_kaku",3,"Chaetodon ephippium","10_20",3.8387454540342,1,10.3333332964837,20,85.4567630523374,3,0.086234556705662,5.22407398834759,562.265114511837,0.306072810315564,0.165928201385392,2.52587960663559,0.0269892874241902,1.02011466928594,31,-2.00713221659396
